original	analyzed	corrected
uddhaṃsoto akaniṭṭhagāmīti avihāsu pañca anāmigāno, tathā atappāsudassāsudassīsupi	a kaniṭṭha gāmī iti a vihāsu pañca tathā 	uddhaṃ soto a kaniṭṭha gāmī iti a vihāsu pañca anāgāmino tathā atappāsu sudassāsu sudassīsu pi
sattakkhattuparamaṃ vadanti. Taṃ ayuttaṃ kasmā “kiñcāpi te honti bhusaṃpamattā, na	satta kkhattu paramam vadanti tam ayuttam kasmā kiñca api te honti na 	satta kkhattu paramam vadanti tam ayuttam kasmā kiñca api te honti bhusam pamattā na
te bhavaṃ aṭṭhamamādiyantī”ti pāḷiyā virodhattā. Apica dvibhavaparicchinno sakadāgāmīpi	te bhavam aṭṭhamam ādiyanti iti apica dvi bhava paricchinnaḥ 	te bhavam aṭṭhamam ādiyanti iti pāḷiyā virodhattā apica dvi bhava paricchinno sakadāgāmīpi
ayaṃ jīvitasamasīsīnāma. Tattha terasa sīsāni katamāni terasa sīsāni. Palibodhasīsaṃ,	ayam tattha terasa sīsāni katamāni terasa sīsāni palibodha sīsam 	ayam jīvitasamasīsīnāma tattha terasa sīsāni katamāni terasa sīsāni palibodha sīsam
Evañca sati “mandappavattiyaṃ pana maraṇakālādīsu pañcavāramevā”ti ettha “mandappavattiya”nti	evam ca sati pana maraṇa kāla ādīsu pañca vāram eva ati ettha manda ppavattiyan ti 	"evam ca sati ""manda ppavattiyam pana maraṇa kāla ādīsu pañca vāram eva"" ti ettha ""manda ppavattiyan"" ti"
nivatteti. Asammūḷhakāle pana chasattakkhattumpi anujānāti. Kāmāvacarajavanānañca	nivatteti a sammūḍha kāle pana cha satta kkhattum pi anujānāti 	nivatteti a sammūḷha kāle pana cha satta kkhattum pi anujānāti kāmāvacara javanānaṃ ca
aniyataparimāṇā balavakālepi parisampuṇṇabhāvā tathā hi “kāmāvacarajavanānibalavakāle	aniyata parimāṇā balava kāle api parisampuṇṇa bhāvā tathā hi 	aniyata parimāṇā balava kāle api parisampuṇṇa bhāvā tathā hi kāmāvacara javanāni balava kāle
Bhagavato yamakapāṭihāriyakālādīsu lahukappavattiyaṃ cattāri pañcavā paccavekkhaṇajavanacittāni	bhagavataḥ yamaka pāṭihāriya kāla ādīsu cattāri paccavekkhaṇa javana cittāni 	bhagavato yamaka pāṭihāriya kāla ādīsu lahu kappa vattiyaṃ cattāri pañca vā paccavekkhaṇa javana cittāni
maraṇāsannavīthicittassa visuṃ alabbhanato paccavekkhaṇanteyeva bhavaṅgacittena parinibbānato	maraṇa āsanna vīthi cittassa visum a labbhanato bhavaṅga cittena parinibbānato 	maraṇa āsanna vīthi cittassa visum a labbhanato paccavekkhaṇa ante yeva bhavaṅga cittena parinibbānato
Na so saṅkhatadhammānaṃ, kalaṃ nāgghati soḷasi”nti.	na saḥ saṅkhata dhammānam kalam na agghati 	na so saṅkhata dhammānaṃ kalaṃ na agghati soḷasiṃ
aggamakkhāyati. Kasmā yasmā agārikaratanesu aggo cakkavattīpi sīlādiguṇayuttaṃ anagārikaratanaṃ	aggam akkhāyati kasmai yasmai agārika ratanesu aggaḥ sīla ādi guṇa yuttam anagārika ratanam 	aggam akkhāyati kasmā yasmā agārika ratanesu aggo cakkavattīpi sīla ādi guṇa yuttam anagārika ratanam
Samathayānikaratanampi duvidhaṃ sāvakapāramippattamapattañca. Tattha sāvakapāramippattaṃ	duvidham sāvaka pāramippattam apattam ca tattha sāvaka pāramippattam 	samatha yānika ratanam pi duvidham sāvaka pāramippattam apattam ca tattha sāvaka pāramippattam
sāriputtamoggalānādayo ariyapuggalā vā. Tepi alabhantena ekantajahitaṃ sivaṭṭhikaṃ	ariya puggalāḥ vā te pi a labhantena ekanta jahitam sivaṭṭhikam 	sāriputta moggalāna ādayo ariya puggalā vā te pi a labhantena ekanta jahitaṃ sivaṭṭhikaṃ
buddhapaccekabuddhā asīti ca mahāsāvakā aññe ca tathāgatassa sāvakā sunettamahāgovindavidhurasarabhaṅgamahosadhasutasomanimirājaayogharakumāraka	buddha paccekabuddhāḥ asi iti ca mahāsāvakāḥ aññe ca tathāgatassa sāvakā 	buddha paccekabuddhā asīti ca mahāsāvakā aññe ca tathāgatassa sāvakā sunetta mahāgovinda vidhura sarabhaṅga mahosadha sutasoma nimirāja ayoghara kumāraka
Pattāpi surabhi vāyanti, evaṃ dhīrūpasevanā”ti.	surabhi vāyanti evam dhī rūpa sevanā ati 	Pattā pi surabhi vāyanti evam dhī rūpa sevanā ti
Apica tepi sappurise saṅgamma assutapubbampi ubhayalokahitāvahaṃ vācaṃ suyyateva, vuttampi cetaṃ.	apica te pi sappurise saṅgamma a ssuta pubbam pi ubhaya loka hita āvaham vācam 	apica te pi sappurise saṅgamma a ssuta pubbam pi ubhaya loka hita āvaham vācam suyyati eva vuttam pi etam
Evamādippabhedā sappurisā loke atidullabhāva. Tabbigamena duppurisā bālajanā agavesantopi	evamādi ppabhedā sappurisāḥ loke tad vigamena duppurisāḥ bāla janāḥ 	evamādi ppabhedā sappurisāḥ loke atidullabhāva tad vigamena duppurisāḥ bāla janāḥ agavesantopi
labbhanteva te bālā attānaṃ sevamāne parajane saṃsāradukkheyeva osīdenti bhavato	labbhanta iva te bālāḥ attānam sevamāne para jane osīdenti bhavato 	labbhanta iva te bālāḥ attānam sevamāne para jane saṃsāradukkhe eva osīdenti bhavato
Tattha vassagaṇanāpi evaṃ veditabbā yathāha “sataṃsatasahassāni koṭi hoti evaṃ sataṃsahassakoṭiyo	tattha vassa gaṇanā api evam veditabbā yathā āha evam evam 	tattha vassa gaṇanā api evam veditabbā yathā āha satam sata sahassāni koṭi hoti evam satam sahassa koṭiyo
imāni nāmāni laddhānīti vadanti. Aparepi vānakāraṇehīti ṭīkānetti. Yathā ca dīghavidassaāghātā	imāni nāmāni laddhāni iti vadanti apare pi yathā ca 	imāni nāmāni laddhāni iti vadanti apare pi vānakāraṇehi iti ṭīkānetti yathā ca dīghavidassa āghātā
Akattipaṇḍitocāpi sakkena devānamindena vare diyyamāne evamāha	sakkena devānamindena vare diyyamāne evam āha 	akatti paṇḍito cāpi sakkena devānamindena vare diyyamāne evam āha
bhinditvā gaṅgāyaṃ khipi tena gaṅgānadiyā vāhena eko uddhaṃ eko heṭṭhāti evaṃ dve	bhinditvā tena gaṅgā nadiyā vāhena ekaḥ uddham ekaḥ heṭṭhā ati evam dve 	bhinditvā gaṅgāyaṃ khipi tena gaṅgā nadiyā vāhena eko uddhaṃ eko heṭṭhā iti evaṃ dve
evameva manussattabhāvopi dullabhoyeva tathāhi manussattabhāvaṃ alabhitvāva nirayapetaasurakāyatiracchānabhūmīsuyeva	evam eva manussatta bhāvaḥ api dullabhaḥ yeva tathā hi manussatta bhāvam a labhitvā ava 	evam eva manussatta bhāvo api dullabho yeva tathā hi manussatta bhāvam a labhitvā eva niraya peta asura kāya tiracchāna bhūmīsu yeva
catupañcachasattaaṭṭhakalabhāgamatteneva aṅguliyā patiṭṭhitaṭṭhānamatteyeva bhūmipadese	catu pañca cha satta aṭṭha kala bhāga mattena iva aṅguliyā bhūmi padese 	catu pañca cha satta aṭṭha kala bhāga mattena eva aṅguliyā patiṭṭhita ṭhāna mattena eva bhūmi padese
paccantavisaya arūpaasaññasattatiracchānapetanerayikakāle vā majjhimadesepi cakkhādiaṅgavikalevā	arūpa asañña satta tiracchāna peta nerayika kāle vā majjhima dese pi cakkha ādi aṅga vikale vā 	paccanta visaya arūpa asañña satta tiracchāna peta nerayika kāle vā majjhima dese pi cakkha ādi aṅga vikale vā
hi pavattā janā pāṇātipātādidasaakusalakammapatheyeva ramanti abhiramanti, caṇḍasabhāvā	hi pavattā janā ramanti abhiramanti caṇḍa sabhāvā 	hi pavattā janā pāṇātipātādi dasa akusala kamma pathe yeva ramanti abhiramanti caṇḍa sabhāvā
ca te honti, ratanattayaguṇampi na jānanti. Arūpinopi puggalā paratoghosavirahitattā	ca te honti na jānanti arūpinaḥ pi puggalā 	ca te honti, ratanattayaguṇampi na jānanti. Arūpinopi puggalā paratoghosavirahitattā
tipiṭakadharena’saddhammakovido’ti pākaṭa nāmadheyyena mahātherena upajjhāyo hutvā	pākaṭa nāmadheyyena mahā therena upajjhāyaḥ hutvā 	tipiṭakadharena saddhammakovido ti pākaṭa nāmadheyyena mahā therena upajjhāyaḥ hutvā
