original	analyzed	corrected
ādiya gantvā dhātuyo vaṇdatūti iṇdaguttattheropi sakala tambapaṇṇi dīpe manussā dhātuyo	gantvā dhātuyaḥ vaṇdatu iti manussāḥ dhātuyaḥ 	ādiya gantvā dhātuyaḥ vaṇdatu iti iṇdaguttattheropi sakala tambapaṇṇi dīpe manussāḥ dhātuyaḥ
āhaṭa medavaṇṇa pāsāṇena dhātu gabbhaṃ pidahathāti āha. Te sādhūti sampaṭicchitvā	pāsāṇena dhātu gabbham pidahatha ati āha te sādhu iti sampaṭicchitvā 	āhaṭa medavaṇṇa pāsāṇena dhātu gabbham pidahatha iti āha te sādhu iti sampaṭicchitvā
dhātuṃ āharitvā nidhānaṃ karontūti. Mahājano attano attano balānurūpena suvaṇṇa rajatādi	dhātum āharitvā nidhānam karontu iti mahā janaḥ attanaḥ attanaḥ bala anurūpena rajata ādi 	dhātum āharitvā nidhānam karontu iti mahā jano attano attano bala anurūpena suvaṇṇa rajata ādi
mayhaṃ parājayaṃ disvā maññe nāgacchatīti. Tadā thero kariṇda nadī sīse pajjalita	mayham parājayam disvā maññe na āgacchati iti tadā thero 	mayham parājayam disvā maññe na āgacchati iti tadā thero kariṇda nadī sīse pajjalita
pabbate vasanto rañño parivitakkaṃ ñatvā pañcasata khīṇāsava parivusetā ākāsenāgantvā	pabbate vasantaḥ rañño parivitakkam ñatvā ākāsena āgantvā 	pabbate vasantaḥ rañño parivitakkam ñatvā pañcasata khīṇāsava parivusetā ākāsena āgantvā
Rājā theraṃ disvā attano purato nisīdāpetvā evamāha bhante tumhehi saddhiṃ dasamahā	rājā theram disvā evam āha bhante tumhehi saddhim 	rājā theram disvā attano purato nisīdāpetvā evam āha bhante tumhehi saddhim dasamahā
Kilesa sattuṃ ajinitvā ajeyyo maccūsattuko;	sattum a jinitvā ajeyyaḥ maccūsattukaḥ 	Kilesa sattuṃ ajinitvā ajeyyo maccūsattuko
Iti vatvā evaṃ anusāsi. Mahārāja sabboyeva loka sannivāse jātiyā anugato, jarāya anusaṭo, vyādhinā abhibhūto, maraṇena abbhāhato. Tetāha-	iti vatvā evam mahā rāja sabboyā iva loka sannivāse jātiyā anugataḥ jarāya vyādhinā abhibhūtaḥ maraṇena 	iti vatvā evaṃ anusāsi mahārāja sabboyeva loka sannivāse jātiyā anugato jarāya anusaṭo vyādhinā abhibhūto maraṇena abbhāhato tetāha
Ye puññavantāni gatā pasiddhiṃ mahaddhanaṃ jotiyameṇḍakādī,	ye puññavantāni gatā pasiddhim mahat dhanam 	ye puññavantāni gatā pasiddhiṃ mahaddhanaṃ jotiya meṇḍaka ādī
Sayambhūñāṇassa balena santiṃ gatā mahārāja sayambhūnopi,	sayambhu ñāṇassa balena santim gatāḥ mahā rāja 	sayambhu ñāṇassa balena santim gatāḥ mahā rāja sayambhūno pi
Koṭisahassaṃ agghanti mahārāja tayā puna;	koṭi sahassam mahā rāja tayā puna 	koṭi sahassam agghanti mahā rāja tayā puna
Cūḷaṅgaṇiya yuddhamhi parajjhitvā palāyatā,	yuddhamhi parajjhitvā palāyatā 	Cūḷaṅgaṇiya yuddhamhi parajjhitvā palāyatā
satta satta dīnāni laṅkā rajjaṃ sāsanassa pañcakkhattuṃ adāsiṃ sappi sannitta suparisuddha	satta satta dīnāni laṅkā rajjam sāsanassa pañcakkhattum adāsim 	satta satta dīnāni laṅkā rajjam sāsanassa pañcakkhattum adāsim sappi sannitta suparisuddha
vejjehi bhesajjañca bhattañca niccaṃ dāpesi. Catucattālīsa ṭhānesu telullopakañca	vejjehi bhesajjañca bhattañca niccam dāpesi ṭhānesu 	vejjehi bhesajjañca bhattañca niccam dāpesi catucattālīsa ṭhānesu telullopakañca
sappiphāṇita sakkharāni caturaṅgula muṭṭhippamāṇaṃ yaṭṭhimadhukaṃ sāṭakadvayañca	sappiphāṇita sakkharāni yaṭṭhimadhukam sāṭaka dvayam ca 	sappiphāṇita sakkharāni caturaṅgula muṭṭhippamāṇaṃ yaṭṭhimadhukaṃ sāṭaka dvayaṃ ca
dinnattā paṭiggāhakānaṃ yāvadatthaṃ katvā dinnattā pītipāmojjaṃjanayitvā balava saddhāya	dinnattā paṭiggāhakānam yāvadattham katvā dinnattā saddhāya 	dinnattā paṭiggāhakānam yāvadattham katvā dinnattā pītipāmojjam janayitvā balava saddhāya
pañcannaṃ bhikkhusatānaṃ datvā paribhuñji pathavi cālanaka dhammaguttatthero kalyāṇīya	pañcannam bhikkhu satānam da tvā paribhuñji 	pañcannam bhikkhu satānam da tvā paribhuñji pathavi cālanaka dhammaguttatthero kalyāṇīya
adāsinti taṃ sutvā keci ayaṃ rājā maraṇabhayabhito vippalapati, maraṇato abhāyanaka	tam sutvā keci ayam rājā maraṇa bhaya bhitas vippalapati maraṇataḥ 	adāsinti tam sutvā keci ayam rājā maraṇa bhaya bhitas vippalapati maraṇatas abhāyanaka
Sodāni niṭṭhaṃ sampatto thūpavaṃso anākulo,	niṭṭham sampattaḥ thūpa vaṃsaḥ an ākulaḥ 	so dāni niṭṭham sampattaḥ thūpa vaṃsaḥ an ākulaḥ
